coc_code,state_code,coc_name,coc_total_population_zillow_2017,pit_count_from_2017_zillow_2017,estimated_homeless_rate_percent_zillow_2017,zri_as_percent_of_median_income_zillow_2017,percent_of_coc_living_in_extreme_poverty_zillow_2017,coc_category,pit_overall_homeless_2017,pit_sheltered_es_homeless_2017,pit_sheltered_th_homeless_2017,pit_sheltered_sh_homeless_2017,pit_sheltered_total_homeless_2017,pit_unsheltered_homeless_2017,pit_homeless_individuals_2017,pit_sheltered_es_homeless_individuals_2017,pit_sheltered_th_homeless_individuals_2017,pit_sheltered_sh_homeless_individuals_2017,pit_sheltered_total_homeless_individuals_2017,pit_unsheltered_homeless_individuals_2017,pit_homeless_people_in_families_2017,pit_sheltered_es_homeless_people_in_families_2017,pit_sheltered_th_homeless_people_in_families_2017,pit_sheltered_total_homeless_people_in_families_2017,pit_unsheltered_homeless_people_in_families_2017,pit_homeless_family_households_2017,pit_sheltered_es_homeless_family_households_2017,pit_sheltered_th_homeless_family_households_2017,pit_sheltered_total_homeless_family_households_2017,pit_unsheltered_homeless_family_households_2017,pit_chronically_homeless_2017,pit_sheltered_es_chronically_homeless_2017,pit_sheltered_sh_chronically_homeless_2017,pit_sheltered_total_chronically_homeless_2017,pit_unsheltered_chronically_homeless_2017,pit_chronically_homeless_individuals_2017,pit_sheltered_es_chronically_homeless_individuals_2017,pit_sheltered_sh_chronically_homeless_individuals_2017,pit_sheltered_total_chronically_homeless_individuals_2017,pit_unsheltered_chronically_homeless_individuals_2017,pit_chronically_homeless_people_in_families_2017,pit_sheltered_es_chronically_homeless_people_in_families_2017,pit_sheltered_total_chronically_homeless_people_in_families_2017,pit_unsheltered_chronically_homeless_people_in_families_2017,pit_homeless_veterans_2017,pit_sheltered_es_homeless_veterans_2017,pit_sheltered_th_homeless_veterans_2017,pit_sheltered_sh_homeless_veterans_2017,pit_sheltered_total_homeless_veterans_2017,pit_unsheltered_homeless_veterans_2017,pit_homeless_unaccompanied_youth_under_25_2017,pit_sheltered_es_homeless_unaccompanied_youth_under_25_2017,pit_sheltered_th_homeless_unaccompanied_youth_under_25_2017,pit_sheltered_sh_homeless_unaccompanied_youth_under_25_2017,pit_sheltered_total_homeless_unaccompanied_youth_under_25_2017,pit_unsheltered_homeless_unaccompanied_youth_under_25_2017,pit_homeless_unaccompanied_youth_under_18_2017,pit_sheltered_es_homeless_unaccompanied_youth_under_18_2017,pit_sheltered_th_homeless_unaccompanied_youth_under_18_2017,pit_sheltered_sh_homeless_unaccompanied_youth_under_18_2017,pit_sheltered_total_homeless_unaccompanied_youth_under_18_2017,pit_unsheltered_homeless_unaccompanied_youth_under_18_2017,pit_homeless_unaccompanied_youth_age_18_24_2017,pit_sheltered_es_homeless_unaccompanied_youth_age_18_24_2017,pit_sheltered_th_homeless_unaccompanied_youth_age_18_24_2017,pit_sheltered_sh_homeless_unaccompanied_youth_age_18_24_2017,pit_sheltered_total_homeless_unaccompanied_youth_age_18_24_2017,pit_unsheltered_homeless_unaccompanied_youth_age_18_24_2017,pit_homeless_parenting_youth_under_25_2017,pit_sheltered_es_homeless_parenting_youth_under_25_2017,pit_sheltered_th_homeless_parenting_youth_under_25_2017,pit_sheltered_total_homeless_parenting_youth_under_25_2017,pit_unsheltered_homeless_parenting_youth_under_25_2017,pit_homeless_parenting_youth_under_18_2017,pit_sheltered_es_homeless_parenting_youth_under_18_2017,pit_sheltered_th_homeless_parenting_youth_under_18_2017,pit_sheltered_total_homeless_parenting_youth_under_18_2017,pit_unsheltered_homeless_parenting_youth_under_18_2017,pit_homeless_parenting_youth_age_18_24_2017,pit_sheltered_es_homeless_parenting_youth_age_18_24_2017,pit_sheltered_th_homeless_parenting_youth_age_18_24_2017,pit_sheltered_total_homeless_parenting_youth_age_18_24_2017,pit_unsheltered_homeless_parenting_youth_age_18_24_2017,pit_homeless_children_of_parenting_youth_2017,pit_sheltered_es_homeless_children_of_parenting_youth_2017,pit_sheltered_th_homeless_children_of_parenting_youth_2017,pit_sheltered_total_homeless_children_of_parenting_youth_2017,pit_unsheltered_homeless_children_of_parenting_youth_2017,cluster_number_zillow_2017,cluster_location,cluster_description,hic_total_year_round_beds_es_th_sh_2017,hic_total_non_dv_year_round_beds_es_th_sh_2017,hic_total_hmis_year_round_beds_es_th_sh_2017,hic_hmis_participation_rate_for_year_round_beds_es_th_sh_2017,hic_total_year_round_beds_es_6_2017,hic_total_year_round_beds_th_7_2017,hic_total_year_round_beds_sh_8_2017,hic_total_units_for_households_with_children_es_th_sh_2017,hic_total_beds_for_households_with_children_es_th_sh_2017,hic_total_beds_for_households_without_children_es_th_sh_2017,hic_total_beds_for_households_with_only_children_es_th_sh_2017,hic_dedicated_veteran_beds_es_th_sh_2017,hic_dedicated_youth_beds_es_th_sh_2017,hic_total_year_round_beds_es_15_2017,hic_total_non_dv_year_round_beds_es_2017,hic_total_hmis_year_round_beds_es_2017,hic_hmis_participation_rate_for_year_round_beds_es_2017,hic_total_seasonal_beds_es_2017,hic_total_overflow_beds_es_2017,hic_total_units_for_households_with_children_es_2017,hic_total_beds_for_households_with_children_es_2017,hic_total_beds_for_households_without_children_es_2017,hic_total_beds_for_households_with_only_children_es_2017,hic_dedicated_veteran_beds_es_2017,hic_dedicated_youth_beds_es_2017,hic_total_year_round_beds_th_27_2017,hic_total_non_dv_year_round_beds_th_2017,hic_total_hmis_year_round_beds_th_2017,hic_hmis_participation_rate_for_year_round_beds_th_2017,hic_total_units_for_households_with_children_th_2017,hic_total_beds_for_households_with_children_th_2017,hic_total_beds_for_households_without_children_th_2017,hic_total_beds_for_households_with_only_children_th_2017,hic_dedicated_veteran_beds_th_2017,hic_dedicated_youth_beds_th_2017,hic_total_year_round_beds_sh_37_2017,hic_total_non_dv_year_round_beds_sh_2017,hic_total_hmis_year_round_beds_sh_2017,hic_hmis_participation_rate_for_year_round_beds_sh_2017,hic_total_units_for_households_with_children_sh_2017,hic_total_beds_for_households_with_children_sh_2017,hic_total_beds_for_households_without_children_sh_2017,hic_total_beds_for_households_with_only_children_sh_2017,hic_dedicated_veteran_beds_sh_2017,hic_dedicated_youth_beds_sh_2017,hic_total_year_round_beds_rrh_2017,hic_total_non_dv_year_round_beds_rrh_2017,hic_total_hmis_year_round_beds_rrh_2017,hic_hmis_participation_rate_for_year_round_beds_rrh_2017,hic_total_units_for_households_with_children_rrh_2017,hic_total_beds_for_households_with_children_rrh_2017,hic_total_beds_for_households_without_children_rrh_2017,hic_total_beds_for_households_with_only_children_rrh_2017,hic_dedicated_veteran_beds_rrh_2017,hic_dedicated_youth_beds_rrh_2017,hic_total_year_round_beds_psh_2017,hic_total_non_dv_year_round_beds_psh_2017,hic_total_hmis_year_round_beds_psh_2017,hic_hmis_participation_rate_for_year_round_beds_psh_2017,hic_total_units_for_households_with_children_psh_2017,hic_total_beds_for_households_with_children_psh_2017,hic_total_beds_for_households_without_children_psh_2017,hic_total_beds_for_households_with_only_children_psh_2017,hic_dedicated_veteran_beds_psh_2017,hic_dedicated_youth_beds_psh_2017,hic_dedicated_chronically_homeless_beds_psh_2017,hic_total_year_round_beds_oph_2017,hic_total_non_dv_year_round_beds_oph_2017,hic_total_hmis_year_round_beds_oph_2017,hic_hmis_participation_rate_for_year_round_beds_oph_2017,hic_total_units_for_households_with_children_oph_2017,hic_total_beds_for_households_with_children_oph_2017,hic_total_beds_for_households_without_children_oph_2017,hic_total_beds_for_households_with_only_children_oph_2017,hic_dedicated_veteran_beds_oph_2017,hic_dedicated_youth_beds_oph_2017
ak-500,ak,anchorage coc,299535,1128,0.41,26.37108065,3.364520302,other urban cocs,1128,654,319,0,973,155,848,548,145,0,693,155,280,106,174,280,0,87,34,53,87,0,116,72,0,72,44,114,70,0,70,44,2,2,2,0,69,48,9,0,57,12,115,72,29,0,101,14,8,8,0,0,8,0,107,64,29,0,93,14,12,3,9,12,0,0,0,0,0,0,12,3,9,12,0,21,6,15,21,0,3,"west coast, east coast large metropolitan areas","high homeless rates, high housing costs",1023,950,829,0.8104,597,426,0,97,339,675,9,0,115,597,545,466,0.7806,92,24,29,132,456,9,0,60,426,405,363,0.8521,68,207,219,0,0,55,0,0,0,NA,0,0,0,0,0,0,43,43,43,1,8,34,9,0,17,3,571,571,379,0.6637,52,156,415,0,192,0,311,71,71,71,1,0,0,71,0,0,0
ak-501,ak,alaska balance of state coc,440800,717,0.18,29.60240357,5.094646893,rural cocs,717,363,215,0,578,139,506,244,123,0,367,139,211,119,92,211,0,78,46,32,78,0,141,86,0,86,55,102,47,0,47,55,39,39,39,0,55,22,16,0,38,17,47,24,17,0,41,6,7,5,2,0,7,0,40,19,15,0,34,6,10,7,3,10,0,0,0,0,0,0,10,7,3,10,0,18,14,4,18,0,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs",805,534,478,0.5938,533,272,0,80,283,496,26,12,52,533,324,283,0.531,25,5,49,178,335,20,0,25,272,210,195,0.7169,31,105,161,6,12,27,0,0,0,NA,0,0,0,0,0,0,23,23,23,1,4,15,8,0,7,0,368,368,222,0.6033,33,111,257,0,146,0,77,30,30,30,1,0,0,30,0,0,0
al-500,al,"birmingham/jefferson, st. clair, shelby counties coc",954826,1092,0.15,22.39477719,6.554373375,suburban cocs,1092,540,304,31,875,217,932,435,249,31,715,217,160,105,55,160,0,60,38,22,60,0,92,27,4,31,61,89,24,4,28,61,3,3,3,0,40,24,4,1,29,11,125,58,20,2,80,45,2,2,0,0,2,0,123,56,20,2,78,45,8,2,6,8,0,6,0,6,6,0,2,2,0,2,0,10,4,6,10,0,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs",986,912,725,0.7353,595,357,34,77,245,723,18,169,35,595,535,463,0.7782,0,35,40,134,443,18,90,24,357,343,228,0.6387,37,111,246,0,79,11,34,34,34,1,0,0,34,0,0,0,525,525,525,1,79,269,256,0,333,125,1542,1542,1117,0.7244,267,681,861,0,565,283,668,93,93,93,1,4,12,81,0,0,0
al-501,al,mobile city & county/baldwin county coc,618230,606,0.12,29.31496545,7.838241936,other urban cocs,606,196,145,0,341,265,426,121,58,0,179,247,180,75,87,162,18,57,24,28,52,5,65,9,0,9,56,65,9,0,9,56,0,0,0,0,76,17,33,0,50,26,18,3,6,0,9,9,0,0,0,0,0,0,18,3,6,0,9,9,12,3,9,12,0,0,0,0,0,0,12,3,9,12,0,18,6,12,18,0,1,"midwest, mid-Atlantic, southeast","low homeless rates, modest housing costs",526,438,336,0.6388,304,222,0,90,265,261,0,45,42,304,252,237,0.7796,0,4,31,111,193,0,5,0,222,186,99,0.4459,59,154,68,0,40,42,0,0,0,NA,0,0,0,0,0,0,54,54,50,0.9259,22,44,10,0,10,21,247,247,197,0.7976,17,29,218,0,60,0,101,0,0,0,NA,0,0,0,0,0,0
al-502,al,florence/northwest alabama coc,265634,155,0.07,25.69390749,6.692297077,rural cocs,155,27,106,0,133,22,155,27,106,0,133,22,0,0,0,0,0,0,0,0,0,0,24,10,0,10,14,24,10,0,10,14,0,0,0,0,11,3,0,0,3,8,8,3,4,0,7,1,0,0,0,0,0,0,8,3,4,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"midwest, mid-Atlantic, southeast","low homeless rates, modest housing costs",237,157,0,0,41,196,0,38,141,96,0,61,24,41,41,0,0,76,0,4,19,22,0,36,2,196,116,0,0,34,122,74,0,25,22,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,36,36,6,0.1667,0,0,36,0,20,0,0,20,20,0,0,0,0,20,0,0,0
al-503,al,huntsville/north alabama coc,564541,436,0.09,17.83381975,5.800077125,other urban cocs,436,325,12,0,337,99,327,224,6,0,230,97,109,101,6,107,2,33,30,2,32,1,64,49,0,49,15,61,46,0,46,15,3,3,3,0,27,22,1,0,23,4,30,22,3,0,25,5,13,13,0,0,13,0,17,9,3,0,12,5,2,1,1,2,0,0,0,0,0,0,2,1,1,2,0,3,1,2,3,0,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs",487,432,104,0.2136,457,30,0,52,168,305,14,0,21,457,407,82,0.1794,0,2,41,148,295,14,0,14,30,25,22,0.7333,11,20,10,0,0,7,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,302,302,75,0.2483,30,89,213,0,227,0,296,0,0,0,NA,0,0,0,0,0,0
al-504,al,montgomery city & county coc,383488,377,0.12,21.93117131,8.281652283,other urban cocs,377,221,93,0,314,63,284,165,60,0,225,59,93,56,33,89,4,30,19,10,29,1,45,39,0,39,6,45,39,0,39,6,0,0,0,0,55,44,9,0,53,2,23,23,0,0,23,0,5,5,0,0,5,0,18,18,0,0,18,0,4,0,4,4,0,0,0,0,0,0,4,0,4,4,0,4,0,4,4,0,1,"midwest, mid-Atlantic, southeast","low homeless rates, modest housing costs",393,329,314,0.799,247,146,0,42,128,265,0,37,0,247,237,222,0.8988,0,0,15,49,198,0,37,0,146,92,92,0.6301,27,79,67,0,0,0,0,0,0,NA,0,0,0,0,0,0,58,58,58,1,9,35,23,0,33,0,486,486,259,0.5329,48,145,341,0,227,0,403,0,0,0,NA,0,0,0,0,0,0
al-506,al,tuscaloosa city & county coc,204484,200,0.11,29.64857635,9.036973143,other urban cocs,200,93,41,3,137,63,140,50,24,3,77,63,60,43,17,60,0,17,11,6,17,0,24,15,0,15,9,11,2,0,2,9,13,13,13,0,41,14,19,1,34,7,31,2,1,0,3,28,0,0,0,0,0,0,31,2,1,0,3,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"midwest, mid-Atlantic, southeast","low homeless rates, modest housing costs",176,138,93,0.5284,91,82,3,25,63,113,0,18,14,91,75,75,0.8242,0,0,15,25,66,0,0,14,82,60,18,0.2195,10,38,44,0,18,0,3,3,0,0,0,0,3,0,0,0,0,0,0,NA,0,0,0,0,0,0,294,294,244,0.8299,37,64,230,0,267,0,4,0,0,0,NA,0,0,0,0,0,0
al-507,al,alabama balance of state coc,1522513,764,0.06,27.98965492,9.844597714,rural cocs,764,151,265,0,416,348,591,78,243,0,321,270,173,73,22,95,78,57,24,7,31,26,6,3,0,3,3,6,3,0,3,3,0,0,0,0,15,9,0,0,9,6,39,9,8,0,17,22,2,0,0,0,0,2,37,9,8,0,17,20,3,0,0,0,3,0,0,0,0,0,3,0,0,0,3,4,0,0,0,4,1,"midwest, mid-Atlantic, southeast","low homeless rates, modest housing costs",461,373,29,0.0629,192,269,0,39,120,335,6,32,46,192,104,0,0,0,9,32,94,98,0,11,33,269,269,29,0.10780000000000001,7,26,237,6,21,13,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,245,245,83,0.3388,15,50,195,0,26,4,8,0,0,0,NA,0,0,0,0,0,0
ar-500,ar,little rock/central arkansas coc,590603,1006,0.2,22.38157527,7.099412416,other urban cocs,1006,316,140,0,456,550,892,261,113,0,374,518,114,55,27,82,32,40,18,10,28,12,226,76,0,76,150,216,76,0,76,140,10,0,0,10,121,49,18,0,67,54,75,19,18,0,37,38,8,6,0,0,6,2,67,13,18,0,31,36,2,1,1,2,0,0,0,0,0,0,2,1,1,2,0,2,1,1,2,0,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs",674,533,325,0.4822,471,203,0,66,225,449,0,72,14,471,370,218,0.4628,0,120,42,167,304,0,48,0,203,163,107,0.5271,24,58,145,0,24,14,0,0,0,NA,0,0,0,0,0,0,68,68,68,1,6,21,47,0,34,0,931,931,552,0.5929,112,311,620,0,379,0,73,23,23,23,1,3,11,12,0,0,0
